time[sec],velocity[sec],angle[rad],x[m],y[m]
0,0,0,114.026962,27.070049
0.03,0.241105,0,114.026962,27.070049
0.06,0.48221,-0.000004,114.04406,27.136093
0.09,0.723315,-0.105298,114.061157,27.202137
0.12,0.96442,-0.215097,114.078255,27.268181
0.15,1.205526,-0.326699,114.095352,27.334225
0.18,1.446631,-0.437502,114.11245,27.400269
0.21,1.543375,-0.551112,114.117813,27.451492
0.24,1.640119,-0.552461,114.123177,27.502716
0.27,1.736864,-0.552836,114.128532,27.55394
0.3,1.833608,-0.552256,114.133896,27.605164
0.33,1.930352,-0.550747,114.139252,27.656387
0.36,2.015248,-0.544949,114.143959,27.718178
0.39,2.100143,-0.529438,114.148674,27.779966
0.42,2.185039,-0.51369,114.153381,27.841757
0.45,2.269935,-0.497753,114.158096,27.903545
0.48,2.352217,-0.479328,114.163086,27.973444
0.51,2.434499,-0.461568,114.168068,28.043343
0.54,2.516781,-0.443873,114.173058,28.113241
0.57,2.599063,-0.426289,114.17804,28.18314
0.6,2.6844,-0.405857,114.183716,28.265116
0.63,2.769737,-0.388376,114.189392,28.347092
0.66,2.855075,-0.371135,114.195061,28.42907
0.69,2.938911,-0.352933,114.201035,28.516727
0.72,3.022748,-0.336238,114.207008,28.604385
0.75,3.106585,-0.319902,114.212982,28.692045
0.78,3.190422,-0.303949,114.218956,28.779703
0.81,3.283448,-0.284897,114.226166,28.887234
0.84,3.376475,-0.269998,114.233376,28.994764
0.87,3.469502,-0.255502,114.240593,29.102297
0.9,3.551064,-0.242377,114.247314,29.203499
0.93,3.632625,-0.22859,114.254036,29.304699
0.96,3.714186,-0.215311,114.260757,29.405901
0.99,3.806381,-0.200028,114.268761,29.52742
1.02,3.898577,-0.188025,114.276772,29.648937
1.05,3.981421,-0.177336,114.284233,29.762754
1.08,4.064266,-0.166162,114.291695,29.876572
1.11,4.147111,-0.1555,114.299156,29.990389
1.14,4.237523,-0.143861,114.307655,30.1208
1.17,4.327935,-0.134372,114.316162,30.251209
1.2,4.418347,-0.125342,114.324661,30.38162
1.23,4.511565,-0.11596,114.333839,30.523136
1.26,4.604783,-0.107927,114.34301,30.664652
1.29,4.698,-0.100319,114.352188,30.80617
1.32,4.792489,-0.092594,114.3619,30.95686
1.35,4.886977,-0.085812,114.371613,31.10755
1.38,4.969334,-0.080184,114.380302,31.242704
1.41,5.051691,-0.074047,114.388992,31.377859
1.44,5.134048,-0.068303,114.397682,31.513014
1.47,5.227733,-0.062,114.40789,31.672298
1.5,5.321417,-0.057146,114.418098,31.831583
1.53,5.417225,-0.052335,114.428802,31.999083
1.56,5.513033,-0.048114,114.439499,32.16658
1.59,5.609943,-0.043998,114.450592,32.340527
1.62,5.706852,-0.040356,114.461678,32.514473
1.65,5.803761,-0.036969,114.472771,32.688423
1.68,5.901962,-0.033649,114.48436,32.870831
1.71,6.000162,-0.030751,114.495956,33.053242
1.74,6.099298,-0.027955,114.507927,33.242046
1.77,6.198434,-0.025486,114.519905,33.430851
1.8,6.297569,-0.02321,114.531876,33.619652
